
Image Name                     PID Session Name        Session#    Mem Usage
Windows.Media.BackgroundP     9360 Console                   38      7,528 K
ctfmon.exe                   10696 Console                   38     22,728 K
TabTip.exe                   10816 Console                   38     17,212 K
TextInputHost.exe             2228 Console                   38     33,568 K
RuntimeBroker.exe            21068 Console                   38     18,592 K
WidgetService.exe            25044 Console                   38     13,036 K
HPSystemEventUtilityHost.    12692 Console                   38     68,992 K
RuntimeBroker.exe            18908 Console                   38     18,348 K
HPCC.Bg.BackgroundApp.exe    20408 Console                   38     13,292 K
HpSystemManagement.exe       17744 Console                   38     16,580 K
unsecapp.exe                 15964 Console                   38      7,888 K
SecurityHealthSystray.exe    23656 Console                   38     10,292 K
ShellExperienceHost.exe       8416 Console                   38     15,892 K
RuntimeBroker.exe            15092 Console                   38     15,468 K
svchost.exe                  11964 Console                   38     11,204 K
SystemSettingsBroker.exe      6864 Console                   38     20,400 K
svchost.exe                  19800 Console                   38      8,812 K
RtkAudUService64.exe         17540 Console                   38     13,128 K
CCleaner64.exe               21948 Console                   38     17,912 K
UniKeyNT.exe                  5308 Console                   38     12,992 K
unsecapp.exe                 25484 Console                   38      9,056 K
Teams.exe                    12076 Console                   38     70,360 K
msedge.exe                   21408 Console                   38    393,672 K
Teams.exe                    14456 Console                   38     24,704 K
Teams.exe                    24752 Console                   38     29,868 K
msedge.exe                    5908 Console                   38      7,920 K
Teams.exe                    13564 Console                   38     14,464 K
msedge.exe                   14248 Console                   38    170,068 K
msedge.exe                   20768 Console                   38     57,444 K
msedge.exe                   17424 Console                   38     19,220 K
Teams.exe                    18228 Console                   38     13,092 K
msedge.exe                    7876 Console                   38     15,164 K
msedge.exe                   18248 Console                   38    129,352 K
msedge.exe                   23928 Console                   38     19,736 K
Teams.exe                     8476 Console                   38    156,364 K
Teams.exe                    23884 Console                   38     40,172 K
OneDrive.exe                  4572 Console                   38     38,172 K
HPAudioSwitch.exe            23424 Console                   38     21,832 K
Teams.exe                    18284 Console                   38     23,748 K
vmware-tray.exe              20136 Console                   38     11,772 K
svchost.exe                   6948 Console                   38     21,056 K
Code.exe                     21084 Console                   38     88,724 K
Code.exe                     15884 Console                   38     15,828 K
Code.exe                     18320 Console                   38    151,376 K
Code.exe                      2716 Console                   38     27,336 K
Code.exe                      4576 Console                   38    282,996 K
Code.exe                     21200 Console                   38     99,628 K
Code.exe                      1508 Console                   38     48,764 K
Code.exe                     19824 Console                   38     32,704 K
Code.exe                     14408 Console                   38     40,600 K
conhost.exe                   3952 Console                   38      6,244 K
powershell.exe               22764 Console                   38     14,028 K
Code.exe                     10732 Console                   38     20,532 K
java.exe                     19368 Console                   38    486,992 K
ApplicationFrameHost.exe     25056 Console                   38     17,348 K
SystemSettings.exe           13720 Console                   38      1,620 K
UserOOBEBroker.exe           19416 Console                   38      8,076 K
conhost.exe                  13080 Console                   38      6,480 K
powershell.exe               17576 Console                   38     46,432 K
conhost.exe                   8848 Console                   38      6,508 K
powershell.exe                5884 Console                   38     31,724 K
msedge.exe                   19892 Console                   38     17,236 K
msedge.exe                   10040 Console                   38     21,548 K
RuntimeBroker.exe            18324 Console                   38     19,540 K
msedge.exe                    3152 Console                   38      6,968 K
msedge.exe                   15492 Console                   38     31,656 K
msedge.exe                   21876 Console                   38      3,564 K
Notion.exe                   11244 Console                   38    106,204 K
Notion.exe                   16136 Console                   38     25,208 K
Notion.exe                   12308 Console                   38     78,296 K
Notion.exe                   11836 Console                   38     45,232 K
Notion.exe                   24908 Console                   38     47,024 K
Notion.exe                    3348 Console                   38    191,948 K
Notion.exe                   12992 Console                   38     28,284 K
Notion.exe                   19436 Console                   38     32,800 K
msedge.exe                   14640 Console                   38      3,044 K
msedge.exe                   17168 Console                   38      2,924 K
msedge.exe                   18580 Console                   38      4,672 K
msedge.exe                    9740 Console                   38     13,140 K
Notion.exe                   11532 Console                   38     38,628 K
msedge.exe                   14592 Console                   38      4,148 K
msedge.exe                   13096 Console                   38      3,732 K
msedge.exe                   21508 Console                   38      8,852 K
msedge.exe                   16996 Console                   38      3,544 K
msedge.exe                   20860 Console                   38      4,136 K
msedge.exe                   10912 Console                   38      3,904 K
msedge.exe                   20948 Console                   38    129,868 K
backgroundTaskHost.exe       21264 Console                   38      3,788 K
RuntimeBroker.exe             7708 Console                   38     27,680 K
msedge.exe                    9884 Console                   38    102,396 K
msedge.exe                    7388 Console                   38    141,944 K
msedge.exe                   17672 Console                   38    121,040 K
msedge.exe                    1768 Console                   38    162,328 K
svchost.exe                  15532 Services                   0      7,524 K
msedge.exe                   15656 Console                   38     96,208 K
msedge.exe                    2884 Console                   38     78,976 K
msedge.exe                    4268 Console                   38     56,944 K
msedge.exe                   20592 Console                   38     54,624 K
svchost.exe                  12680 Services                   0     18,612 K
audiodg.exe                  13496 Services                   0     19,920 K
msedge.exe                   11008 Console                   38     45,792 K
smartscreen.exe              16108 Console                   38     10,076 K
SearchProtocolHost.exe       17972 Console                   38      8,712 K
msedge.exe                    6604 Console                   38    115,628 K
msedge.exe                   20280 Console                   38     27,800 K
Teams.exe                     1124 Console                   38     70,904 K
java.exe                     15308 Console                   38     40,844 K
java.exe                     11508 Console                   38     42,064 K
tasklist.exe                  4284 Console                   38      9,260 K
conhost.exe                   6656 Console                   38     10,816 K
